categoryId,category_name,total_sections,total_materials
1,ACERO PARA CONSTRUCCION,7,64
2,ACONDICIONADOR DE AIRE,1,7
3,ADHESIVOS,3,26
4,ADITIVOS,1,30
5,ADOQUINES,1,1
6,AISLANTE TERMICO ACUSTICO,1,13
7,ALAMBRES Y MALLAS,1,12
8,ALCANTARILLA METALICA CORRUGADA,1,2
9,ALFOMBRAS Y EMPAPELADOS,2,7
10,ALIGERANTES,1,12
11,ARIDOS Y PIEDRAS,2,20
12,AZULEJOS Y CERAMICOS,3,32
13,BASUREROS,1,5
14,BOMBAS DE AGUA,4,16
15,CALEFONES,4,9
16,CALENTADOR DE AGUA SOLAR,1,3
17,CÁMARA DE POLIETILENO,1,3
18,CÁMARA SÉPTICA,2,13
19,CAÑOS Y ACCESORIOS,9,77
20,CARBURANTE/LUBRICANTE,1,8
21,CARPINTERIA DE ALUMINIO,1,9
22,CARPINTERÍA DE MADERA Y MELAMINA,2,6
23,CEMENTOS,1,12
24,CIELO FALSO PLAFON,2,5
25,CIELO FALSO PVC,1,1
26,CIELO Y PARED DRYWALL,2,8
27,CLAVOS,1,10
28,CUBIERTAS,7,41
29,DESENCOFRANTE,1,4
30,ESTRACTORES DE AIRE,1,7
31,ESTUCOS Y CALES,1,6
32,FIJACION EN SECO,3,17
33,GAVIONES,4,31
34,GEOSINTETICOS,1,6
35,GRIFERIA,3,25
36,GROUNTING,1,3
37,HERRAMIENTAS,1,22
38,HORMIGON PREMEZCLADO,1,5
39,IMPERMEABILIZANTES SUPERFICIALES,4,31
40,INSTALACIÓN AGUA POTABLE Y VÁLVULAS,3,22
41,INSTALACION ELECTRICA,11,80
42,INSTALACION SANITARIA,14,74
43,INSTALACIÓN TELEFÓNICA,1,6
44,LADRILLO VISTO BRICK – INCERPAZ,2,6
45,LADRILLOS,7,26
46,LAMPARAS,10,42
47,LOSETAS,1,10
48,MADERA ELABORADA,6,27
49,MADERAS,4,19
50,MALLAS ELECTROSOLDADAS,2,14
51,MALLAS OLÍMPICAS,1,8
52,MANGUERAS,1,6
53,MATERIAL ELÉCTRICO DE EMPALME,1,14
54,MATERIAL EXPLOSIVO,1,4
55,MATERIAL PARA PUESTA A TIERRA,1,7
56,MESONES DE PIEDRA PIZARRA,1,5
57,"MOSAICOS, ZOCALOS Y MESONES",4,13
58,MUROS Y CUBIERTA TERMOACÚSTICO,1,10
59,PINTURAS,10,73
60,PISOS,2,14
61,PISOS DE PORCELANATO,2,8
62,PLANCHAS DE ACERO,1,9
63,PLANCHAS DE ACRÍLICO,1,6
64,POLICARBONATOS,3,18
65,POLITUBOS,1,5
66,PREMOLDEADOS DE HORMIGÓN,1,9
67,QUINCALLERÍA,5,43
68,REFUERZOS ESTRUCTURALES,1,8
69,REVESTIMIENTOS EPÓXICOS INDUSTRIALES,1,5
70,SELLANTES,1,8
71,SEPARADORES DE HORMIGÓN,1,6
72,SOGAS,1,8
73,TANQUES DE PLÁSTICO,6,48
74,TEJAS,2,9
75,TIERRA SELECCIONADA Y CESPED,3,13
76,TUBERÍA HELICOIDAL PVC,1,5
77,TUBOS DE HORMIGÓN,2,20
78,TUBOS Y ACCESORIOS DE PRESION PARA AGUA CALIENTE,3,35
79,TUBOS Y ACCESORIOS DE PVC,13,95
80,TUBOS Y ACCESORIOS SUPERTUBO HDPE,10,92
81,VÁLVULAS Y ACCESORIOS FFD,6,18
82,VIDRIOS,6,19
